age,sex,province,health,n
24,Male,QC,Very good,9
24,Male,SK,Excellent,2
24,Male,SK,Fair,2
24,Male,SK,Very good,4
25,Female,AB,Excellent,2
25,Female,AB,Fair,7
25,Female,AB,Very good,4
25,Female,BC,Excellent,3
25,Female,BC,Fair,3
25,Female,BC,Very good,4
25,Female,BC,NA,1
25,Female,MB,Excellent,4
25,Female,MB,Fair,1
25,Female,MB,Very good,1
25,Female,NB,Excellent,1
25,Female,NB,Fair,2
25,Female,NB,Very good,1
25,Female,NL,Very good,2
25,Female,NS,Excellent,1
25,Female,NS,Fair,2
25,Female,NS,Very good,1
25,Female,ON,Excellent,10
25,Female,ON,Fair,5
25,Female,ON,Very good,12
25,Female,PE,Very good,2
25,Female,QC,Excellent,10
25,Female,QC,Fair,6
25,Female,QC,Very good,11
25,Female,SK,Fair,8
25,Female,SK,Poor,1
25,Male,AB,Excellent,2
25,Male,AB,Fair,6
25,Male,AB,Very good,3
25,Male,BC,Excellent,3
25,Male,BC,Fair,3
25,Male,BC,Very good,1
25,Male,BC,NA,1
25,Male,MB,Excellent,3
25,Male,MB,Fair,3
25,Male,MB,Very good,2
25,Male,NB,Excellent,1
25,Male,NB,Very good,1
25,Male,NL,Excellent,1
25,Male,NL,Fair,1
25,Male,NL,Very good,3
25,Male,NS,Excellent,3
25,Male,NS,Fair,8
25,Male,NS,Very good,2
25,Male,ON,Excellent,2
25,Male,ON,Fair,11
25,Male,ON,Poor,1
25,Male,ON,Very good,15
25,Male,PE,Fair,3
25,Male,PE,Very good,1
25,Male,PE,NA,1
25,Male,QC,Excellent,8
25,Male,QC,Fair,4
25,Male,QC,Very good,3
25,Male,SK,Excellent,2
25,Male,SK,Fair,2
25,Male,SK,Poor,1
25,Male,SK,Very good,2
26,Female,AB,Excellent,5
26,Female,AB,Fair,5
26,Female,AB,Very good,5
26,Female,BC,Excellent,5
26,Female,BC,Fair,6
26,Female,BC,Poor,1
26,Female,BC,Very good,4
26,Female,MB,Excellent,3
26,Female,MB,Very good,4
26,Female,NB,Excellent,2
26,Female,NB,Fair,2
26,Female,NB,Very good,4
26,Female,NL,Excellent,3
26,Female,NL,Fair,2
26,Female,NL,Very good,2
26,Female,NS,Excellent,1
26,Female,NS,Fair,2
26,Female,NS,Very good,3
26,Female,ON,Excellent,4
26,Female,ON,Fair,11
26,Female,ON,Very good,11
26,Female,PE,Excellent,1
26,Female,PE,Fair,2
26,Female,PE,Very good,1
26,Female,QC,Excellent,9
26,Female,QC,Fair,8
26,Female,QC,Very good,12
26,Female,QC,NA,1
26,Female,SK,Excellent,2
26,Female,SK,Very good,4
26,Male,AB,Excellent,4
26,Male,AB,Fair,3
26,Male,AB,Very good,4
26,Male,BC,Excellent,5
26,Male,BC,Fair,3
26,Male,BC,Poor,1
26,Male,BC,Very good,6
26,Male,MB,Excellent,2
26,Male,MB,Fair,1
26,Male,MB,Very good,1
26,Male,NB,Very good,1
26,Male,NL,Excellent,1
26,Male,NL,Fair,1
26,Male,NL,Very good,2
26,Male,NS,Excellent,3
26,Male,NS,Fair,2
26,Male,NS,Very good,2
26,Male,ON,Excellent,8
26,Male,ON,Fair,8
26,Male,ON,Very good,11
26,Male,PE,Excellent,1
26,Male,PE,Fair,1
26,Male,PE,Very good,1
26,Male,QC,Excellent,6
26,Male,QC,Fair,10
26,Male,QC,Very good,10
26,Male,SK,Excellent,1
26,Male,SK,Fair,2
26,Male,SK,Very good,1
27,Female,AB,Excellent,1
27,Female,AB,Fair,4
27,Female,AB,Very good,5
27,Female,BC,Excellent,3
27,Female,BC,Fair,2
27,Female,BC,Very good,10
27,Female,MB,Fair,3
27,Female,MB,Poor,1
27,Female,MB,Very good,4
27,Female,MB,NA,1
27,Female,NB,Excellent,3
27,Female,NB,Fair,6
27,Female,NB,Very good,4
27,Female,NL,Excellent,2
27,Female,NL,Fair,1
27,Female,NL,Very good,4
27,Female,NS,Excellent,3
27,Female,NS,Fair,5
27,Female,NS,Very good,5
27,Female,ON,Excellent,11
27,Female,ON,Fair,12
27,Female,ON,Poor,1
27,Female,ON,Very good,13
27,Female,PE,Excellent,1
27,Female,PE,Fair,1
27,Female,PE,Very good,1
27,Female,QC,Excellent,6
27,Female,QC,Fair,10
27,Female,QC,Very good,5
27,Female,SK,Excellent,3
27,Female,SK,Fair,3
27,Female,SK,Very good,5
27,Male,AB,Excellent,7
27,Male,AB,Fair,6
27,Male,AB,Very good,4
27,Male,BC,Excellent,4
27,Male,BC,Fair,5
27,Male,BC,Very good,2
27,Male,MB,Fair,1
27,Male,MB,Poor,1
27,Male,MB,Very good,2
27,Male,NB,Excellent,1
27,Male,NB,Fair,3
27,Male,NB,Very good,1
27,Male,NL,Fair,1
27,Male,NL,Very good,5
27,Male,NS,Fair,3
27,Male,NS,Poor,1
27,Male,NS,Very good,1
27,Male,ON,Excellent,9
27,Male,ON,Fair,2
27,Male,ON,Other,1
27,Male,ON,Very good,12
27,Male,PE,Excellent,1
27,Male,PE,Very good,2
27,Male,QC,Excellent,12
27,Male,QC,Fair,5
27,Male,QC,Very good,7
27,Male,SK,Excellent,3
27,Male,SK,Very good,4
28,Female,AB,Excellent,3
28,Female,AB,Fair,2
28,Female,AB,Very good,4
28,Female,BC,Excellent,6
28,Female,BC,Fair,9
28,Female,BC,Very good,3
28,Female,MB,Excellent,1
28,Female,MB,Fair,3
28,Female,MB,Very good,3
28,Female,NB,Very good,2
28,Female,NL,Excellent,2
28,Female,NL,Fair,1
28,Female,NL,Very good,3
28,Female,NS,Excellent,2
28,Female,NS,Fair,1
28,Female,NS,Very good,4
28,Female,ON,Excellent,8
28,Female,ON,Fair,6
28,Female,ON,Very good,13
28,Female,PE,Excellent,2
28,Female,PE,Fair,1
28,Female,QC,Excellent,10
28,Female,QC,Fair,10
28,Female,QC,Very good,13
28,Female,SK,Excellent,3
28,Female,SK,Fair,4
28,Female,SK,Very good,2
28,Male,AB,Excellent,4
28,Male,AB,Fair,4
28,Male,AB,Very good,6
